ФИО;Ссылка;Специальность;Клиника
Валуенко Мария Львовна;https://h24.ua/doctor/11010-valuenko-maryya-lvovna/;Нарколог, Психиатр;МЕДКЛАССИК, медицинский центр
Галецкий  Александр  Иосифович;https://h24.ua/doctor/7300-galeckyj-aleksandr-yosyfovych/;Стоматолог;Имплантационный центр Галецкого
Джабара Турки Рашидович;https://h24.ua/doctor/7854-dzhabara-turky-rashydovych/;Акушер-гинеколог;Центр прогрессивной медицины Авиценна мед
Косован Юлия Петровна;https://h24.ua/doctor/7005-kosovan-yulyya-petrovna/;Аллерголог, Терапевт;Медицинский центр Аллерголог на ул. Харьковское шоссе
Юсеф Рами Мухаммедович;https://h24.ua/doctor/7508-yusef-ramy-muhammedovych/;Эндоскопист, Хирург-онколог, Уролог;Центр прогрессивной медицины Авиценна мед
Кара-Казарян Армине Арменаковна;https://h24.ua/doctor/7743-kara-kazaryan-armyne-armenakovna/;Пластический хирург, Хирург;Клиника VV Clinic (ВВ Клиник)
Омельченко Елена Владимировна;https://h24.ua/doctor/12077-omelchenko-elena-vladymyrovna/;Гастроэнтеролог детский;ON Clinic (ОН Клиник), медицинский центр в Харькове (детское отделение)
Kpупельницкая Татьяна Владимировна;https://h24.ua/doctor/22532-kpupelnyckaya-tatyana-vladymyrovna/;Дерматовенеролог;Частный кабинет дерматовенеролога Татьяны Kpупельницкой
Абакунова Алла Петровна;https://h24.ua/doctor/21503-abakunova-alla-petrovna/;Отоларинголог (ЛОР);Здорова родина (Здоровая семья), медицинский центр
Абаскулузаде Сабина Видадиевна;https://h24.ua/doctor/11896-abaskuluzade-sabyna-vydadyevna/;Гинеколог, Акушер-гинеколог;Milner-Mediсal (Мильнер-Медикал), лечебно-диагностический центр
